Topic,Count,Name,Representation,Representative_Docs
0,230,0_the_of_to_follow,"['the', 'of', 'to', 'follow', 'on', 'and', 'for', 'with', 'by', 'in']","['couch mammel the remixes out pre save the ep httpsbronzewhalecomcouchmammalsremix soft jaw delivers the first of our couch mammals ep remixes well be releasing a new remix each week on friday through the end of the month from soft jaw i wanted to create a project that would showcase elements of indie rock edm and hip hop that got me into music my remix of how u feeling blends lots of classic analogue synths with breaks that felt warm and familiar follow bronze whale httpsbronzewhalecomlinks follow sofasound httpslinktreesofasound follow soft jaw httpslinktreesoftjaw', 'dreameater talkboxsynthdrumpadguitar cover of cosmograph i feel so alive from the nikke goddess of victory ost my submission for the nd anniversary global creators contest the day this track hit the cash store in game i knew i needed to do a cover version the vocals in the original have such a cool vibe and i really wanted to bring my own flavor to them thanks so much for the opportunity nikke team and to cosmograph for continually being a source of inspiration visualizer on youtube httpswwwyoutubecomwatchvphn vbepqqw nikke website httpsnikke encom original image of cinderella done by httpsxcomcinderellaswordstatus source on pixiv httpswwwpixivnetenusers', 'im reaching fingertips up to the sky wish i could still believe a reason why be honest do i look like i know myself these blurring edges dont know just when it all fell just fading i wish i could be displaying the best you think of me you are the best of me forgetting i cant feel love i cant feel love forgive me forgive me numb this is how it feels to close down uncover these fractures leading to the core in flashes in pieces remembering more just fading i wish i could be displaying the best you think of me you are the best of me thanks for all the make believe those rosy heights we could achieve in our future life in this future life thanks for all the hopes and dreams but now im done with make believe dream on while slowly everything is gone']"
1,70,1_dawgz_hey_subtleties_spent,"['dawgz', 'hey', 'subtleties', 'spent', 'bb', 'away', 'messy', 'cause', 'time', 'know']","['cause i know', 'time spent', 'hey bb']"
